name,freebase_id,dob
Mykhailo Drahomanov,/m/08ltzx,
David Kelley,/m/03xbp1,
Nicos Poulantzas,/m/059p_z,
Norman Geisler,/m/05xgmdj,
Herbert McCabe,/m/06vcfr,
Brian Davies,/m/0gkgg6,
Arthur Drews,/m/0dtt8_,
Aristippus the Younger,/m/03cnldp,
Richard Swinburne,/m/01m3q2,
Antony Flew,/m/04tq_d,
Jakob Schegk,/m/0dgq85p,
Nicolaus Taurellus,/m/05qtch,
Milan Komar,/m/03hk0hn,
Homi K. Bhabha,/m/025trc3,
Herbert Feigl,/m/05s0ft,
John Zerzan,/m/0px7f,
Paul Churchland,/m/0dgfzq,
Renata Salecl,/m/0czcgtv,
Kevin Mulligan,/m/02rs3pv,
José Guilherme Merquior,/m/07ngkz,
Burhan al-Din al-Marghinani,/m/026xjlz,
Axel Honneth,/m/073x7n,
Ioan P. Culianu,/m/0598qd,
Mark Lance,/m/0c7xlk,
Ernest Gellner,/m/01gbkp,
Louis Claude de Saint-Martin,/m/07cg0b,
Al-Hasan ibn 'Ali al-Barbahari,/m/02w1sp6,
Ibn Battah,/m/0264wfk,
Arthur Fine,/m/026fjwt,
Nancy Cartwright,/m/05mpds,
P. F. Strawson,/m/01k94t,
Ted Honderich,/m/03p67y,
Kitaro Nishida,/m/04011l,
Keiji Nishitani,/m/05y6wz2,
Ion Dragoumis,/m/0fvmff,
A. D. Gordon,/m/05rt6f,
Renzo Novatore,/m/08pjyw,
Abdulhakim Arvasi,/m/0cwmr5,
Necip Fazıl Kısakürek,/m/07nh_8,
Norberto Bobbio,/m/04_0vt,
Peter Railton,/m/0d6wzk,
Nihal Atsız,/m/07lcb0,
Tetsuro Watsuji,/m/054hnt,
Karel Kosík,/m/027sywj,
Michel Foucault,/m/0ct9_,
Montesquieu,/m/0f9wd,
Jacques Derrida,/m/0dzkq,
Iris Murdoch,/m/0gdgq,
Archytas,/m/01k8rs,
Eudoxus of Cnidus,/m/0cytr,
Muhammad Tahir,/m/05q40rl,
Andy Clark,/m/032sry,
Cleanthes,/m/016_tb,
Chrysippus,/m/0986m,
Lacydes of Cyrene,/m/02ss_v,
