"p","influenced"
"http://dbpedia.org/resource/Helena_Roerich","http://rdf.freebase.com/ns/m.041mry"
"http://dbpedia.org/resource/Justin_Leiber","http://rdf.freebase.com/ns/m.02wvsl2"
"http://dbpedia.org/resource/Muhammad_Hamidullah","http://rdf.freebase.com/ns/m.05yfqc7"
"http://dbpedia.org/resource/Abu_Zayd_al-Balkhi","http://rdf.freebase.com/ns/m.05xdhf"
"http://dbpedia.org/resource/Ernest_Sosa","http://rdf.freebase.com/ns/m.0brqns"
"http://dbpedia.org/resource/George_Grant_(philosopher)","http://rdf.freebase.com/ns/m.02nb6t"
"http://dbpedia.org/resource/Herbert_Blumer","http://rdf.freebase.com/ns/m.05gqhm"
"http://dbpedia.org/resource/Joseph_Margolis","http://rdf.freebase.com/ns/m.02pwhtk"
"http://dbpedia.org/resource/Kalanos","http://rdf.freebase.com/ns/m.0g17rh"
"http://dbpedia.org/resource/Roberto_Esposito_(philosopher)","http://rdf.freebase.com/ns/m.0gkx8qb"
"http://dbpedia.org/resource/Abdul-Haqq_Dehlavi","http://rdf.freebase.com/ns/m.026xhkz"
"http://dbpedia.org/resource/Al-Isfahani","http://rdf.freebase.com/ns/m.05v7j1"
"http://dbpedia.org/resource/Al-Raghib_al-Isfahani","http://rdf.freebase.com/ns/m.026nxlm"
"http://dbpedia.org/resource/Alexander_N._Chumakov","http://rdf.freebase.com/ns/m.0x297_3"
"http://dbpedia.org/resource/Arnold_Keyserling","http://rdf.freebase.com/ns/m.025xswv"
"http://dbpedia.org/resource/Alison_McIntyre","http://rdf.freebase.com/ns/m.0105lzg9"
"http://dbpedia.org/resource/Charles_Taliaferro","http://rdf.freebase.com/ns/m.05xbsjn"
"http://dbpedia.org/resource/Cheng_Yi_(philosopher)","http://rdf.freebase.com/ns/m.027gyyf"
"http://dbpedia.org/resource/Dimitri_Kitsikis","http://rdf.freebase.com/ns/m.0282sqr"
"http://dbpedia.org/resource/David_Stove","http://rdf.freebase.com/ns/m.04j6xh"
"http://dbpedia.org/resource/Euthymius_of_Athos","http://rdf.freebase.com/ns/m.0ftd65"
"http://dbpedia.org/resource/Fernando_Gonz%C3%A1lez_(writer)","http://rdf.freebase.com/ns/m.043m1pk"
"http://dbpedia.org/resource/Hermann_Graf_Keyserling","http://rdf.freebase.com/ns/m.09ymy5"
"http://dbpedia.org/resource/Jean-Michel_Berthelot","http://rdf.freebase.com/ns/m.06_x9y3"
"http://dbpedia.org/resource/Jonathan_Wolff_(philosopher)","http://rdf.freebase.com/ns/m.08hsc0"
"http://dbpedia.org/resource/Patrick_Dunleavy","http://rdf.freebase.com/ns/m.05wzyb8"
"http://dbpedia.org/resource/Maurice_Blondel","http://rdf.freebase.com/ns/m.09cvw6"
"http://dbpedia.org/resource/Paul_Churchland","http://rdf.freebase.com/ns/m.0dgfzq"
"http://dbpedia.org/resource/Paul_Thagard","http://rdf.freebase.com/ns/m.0b1nm5"
"http://dbpedia.org/resource/Yvanka_B._Raynova","http://rdf.freebase.com/ns/m.012nxyr1"
"http://dbpedia.org/resource/Radoslav_Kati%C4%8Di%C4%87","http://rdf.freebase.com/ns/m.03s3bw"
"http://dbpedia.org/resource/Vasile_Pogor","http://rdf.freebase.com/ns/m.0c_0lk"
"http://dbpedia.org/resource/Yamazaki_Ansai","http://rdf.freebase.com/ns/m.075j34"
"http://dbpedia.org/resource/Abu-Abdullah_Adelabu","http://rdf.freebase.com/ns/m.02qrg1h"
"http://dbpedia.org/resource/Costanzo_Preve","http://rdf.freebase.com/ns/m.0dm0q8"
"http://dbpedia.org/resource/Edwin_Arthur_Burtt","http://rdf.freebase.com/ns/m.076mwy"
"http://dbpedia.org/resource/Gillian_Rose","http://rdf.freebase.com/ns/m.081g2h"
"http://dbpedia.org/resource/Harry_Brighouse","http://rdf.freebase.com/ns/m.09qz30"
"http://dbpedia.org/resource/Herbert_Spiegelberg","http://rdf.freebase.com/ns/m.02phvt0"
"http://dbpedia.org/resource/John_Passmore","http://rdf.freebase.com/ns/m.028950f"
"http://dbpedia.org/resource/Jonathan_Dancy","http://rdf.freebase.com/ns/m.026cvws"
"http://dbpedia.org/resource/Muhammad_Qasim_Nanotvi","http://rdf.freebase.com/ns/m.04grbc8"
"http://dbpedia.org/resource/Theognostus_of_Alexandria","http://rdf.freebase.com/ns/m.043sk2n"
"http://dbpedia.org/resource/Axel_Honneth","http://rdf.freebase.com/ns/m.073x7n"
