no,fb1,fb2,name_x,phil_x,writ_x,name_y,phil_y,writ_y
26899,/m/04z9j,/m/07nxsq,Marx Brothers,,,,,
26900,/m/099bk,/m/02nb6t,Martin Heidegger,1.0,,George Grant,1.0,1.0
26901,/m/058j2,/m/0y6bf3x,,,,Mike Lawrence,,1.0
26902,/m/099bk,/m/03sy5d,Martin Heidegger,1.0,,Hubert Dreyfus,1.0,
26903,/m/051cc,/m/09l5g0,"Martin Luther King, Jr.",,1.0,,,
26904,/m/099bk,/m/02k02f,Martin Heidegger,1.0,,Jean-Luc Nancy,1.0,1.0
26905,/m/07n29,/m/01gc3l,Masaccio,,,Masolino da Panicale,,
26906,/m/099bk,/m/01d494,Martin Heidegger,1.0,,Richard Rorty,1.0,
26907,/m/04xm_,/m/01x1hd,Max Weber,1.0,,Anthony Giddens,,
26908,/m/04xm_,/m/0cmc8v3,Max Weber,1.0,,,,
26909,/m/04xnh,/m/027_247,Max Horkheimer,1.0,,Joe L. Kincheloe,,
26910,/m/04xm_,/m/03kk6x,Max Weber,1.0,,Jacques Ellul,1.0,
26911,/m/04xbh,/m/0dqxxp,Maurice Merleau-Ponty,1.0,,William A. Earle,1.0,
26912,/m/04xbh,/m/0mj3d,Maurice Merleau-Ponty,1.0,,Emmanuel Levinas,1.0,
26913,/m/04xbh,/m/07k4hgt,Maurice Merleau-Ponty,1.0,,Kinji Akagawa,,
26914,/m/04z0g,/m/04l80j,Milton Friedman,,1.0,Abraham Wald,,
26915,/m/04z0g,/m/052j33,Milton Friedman,,1.0,Andrei Shleifer,,
26916,/m/052hl,/m/07nxsq,Mel Brooks,,,,,
26917,/m/0c1_l,/m/01q7b0,,,,,,
26918,/m/04z0g,/m/04hlqw,Milton Friedman,,1.0,,,
26919,/m/09th6,/m/04cbtrw,Mikhail Bulgakov,,1.0,Salman Rushdie,,1.0
26920,/m/052hl,/m/05h2h3c,Mel Brooks,,,Maija DiGiorgio,,
26921,/m/09gpl,/m/05q6p3p,,,,Harry Carmean,,
26922,/m/053yx,/m/02rgh1,Miles Davis,,,Rachel Z,,
26923,/m/04x56,/m/010gkvhz,Michael Moorcock,,1.0,,,
26924,/m/04y41,/m/01hz88,,,,Rockwell Kent,,
26925,/m/04y41,/m/0f8fcj,,,,,,
26926,/m/057k3,/m/011snszp,,,,,,
26927,/m/04s9n,/m/05zzbcp,Muhammad,,,Abdussalam Puthige,,
26928,/m/04z0g,/m/0j5th,Milton Friedman,,1.0,J. Neil Schulman,,1.0
26929,/m/04rd7,/m/0dm86k,,,,Mark Vallen,,
26930,/m/04rd7,/m/05sm_d,,,,Philip Guston,,
26931,/m/057k3,/m/0gg5d6f,,,,,,
26932,/m/04s9n,/m/050hw4,Muhammad,,,Muhammad Husayn Tabataba'i,1.0,1.0
