influencer_id,follower_id
/m/028xm,/m/042q3
/m/028xm,/m/017gzg
/m/028xm,/m/0420y
/m/028xm,/m/0142kg
/m/01btgd,/m/048cl
/m/01btgd,/m/065_27
/m/01btgd,/m/0wjz
/m/01btgd,/m/0c8cl
/m/01btgd,/m/0tfc
/m/034ms,/m/0j3v
/m/034ms,/m/026lj
/m/034ms,/m/02qr0
/m/034ms,/m/03sbs
/m/034ms,/m/03_hd
/m/034ms,/m/0444jt
/m/034ms,/m/0w2w
/m/034ms,/m/07bvs
/m/034ms,/m/0fcy0
/m/034ms,/m/0bmm5j
/m/034ms,/m/06jkm
/m/018wj9,/m/01bpn
/m/018wj9,/m/02r4v1
/m/018wj9,/m/05xvc__
/m/018wj9,/m/0bwpg
/m/018wj9,/m/02kx5b
/m/018wj9,/m/0mddq
/m/018wj9,/m/01b5l3
/m/018wj9,/m/0mj0c
/m/018wj9,/m/0x3r3
/m/0c8cl,/m/0j3v
/m/0c8cl,/m/02wh0
/m/0c8cl,/m/0lcx
/m/0c8cl,/m/01l8_n
/m/01kznw,/m/0h25
/m/01kznw,/m/03j43
/m/01kznw,/m/09j84
/m/01kznw,/m/052h3
/m/01kznw,/m/01dcwz
/m/01kznw,/m/06rr91
/m/01kznw,/m/027yvp
/m/01kznw,/m/01hkr
/m/01kznw,/m/08zg_h
/m/01kznw,/m/0806p
/m/0h25,/m/05zwfc
/m/0h25,/m/03rmkl
/m/0h25,/m/0bbzjt6
/m/0h25,/m/04zks3
/m/0h25,/m/01p34g
/m/0h25,/m/06rr91
/m/0h25,/m/0274p57
/m/0h25,/m/052h3
/m/0h25,/m/02m6pd
/m/0h25,/m/03xbp1
/m/03_hd,/m/01bpn
/m/03_hd,/m/06g4pw
/m/03_hd,/m/03hnbb
/m/03_hd,/m/047g6
/m/03_hd,/m/05xnb
/m/03_hd,/m/01tfg3
/m/03_hd,/m/0x3r3
/m/03_hd,/m/014nx0
/m/03_hd,/m/041ydw
/m/03_hd,/m/01rbsv
/m/03_hd,/m/02wcp1
/m/03_hd,/m/05vq17y
/m/03_hd,/m/079fgp
/m/03_hd,/m/06k0y
/m/03_hd,/m/0g7kc
/m/03_hd,/m/02r5t9d
/m/03_hd,/m/0121qt
/m/03_hd,/m/01kznw
/m/03_hd,/m/08nwqf
/m/03_hd,/m/03lr9f
/m/03_hd,/m/03t2dq
/m/03_hd,/m/01dcwz
/m/03_hd,/m/01x_n6
/m/03_hd,/m/012102
/m/03_hd,/m/02p76c
/m/03_hd,/m/02ln1
/m/03_hd,/m/032r1
/m/03_hd,/m/0mj0c
/m/03_hd,/m/0zz2v
/m/03_hd,/m/01y3j6
/m/03_hd,/m/02s4tw
/m/03_hd,/m/0djqc
/m/03_hd,/m/032yvb
/m/03_hd,/m/0g8nz
/m/0t6h,/m/04qrrt
/m/04hcw,/m/01bpn
/m/04hcw,/m/034n8
/m/04hcw,/m/012ssr
/m/04hcw,/m/01s3b_
/m/04hcw,/m/03cx883
/m/04hcw,/m/01jkgd
/m/04hcw,/m/02tc9g
/m/04hcw,/m/03yfwn
/m/04hcw,/m/056jjf
/m/04hcw,/m/01f2rc
/m/04hcw,/m/01s3cq
/m/04hcw,/m/0dhvs7
/m/04hcw,/m/0592mp
/m/04hcw,/m/0n00
/m/04hcw,/m/0fx12
/m/04hcw,/m/0cwlg
/m/04hcw,/m/04ycgp
/m/04hcw,/m/01r6rr
/m/04hcw,/m/05n0f4
/m/04hcw,/m/01r356
/m/04hcw,/m/04rxxy
/m/04hcw,/m/032wb9
/m/04hcw,/m/02rs23y
/m/04hcw,/m/02rs3pv
/m/04hcw,/m/036xf
/m/04hcw,/m/0b78hw
/m/04hcw,/m/01tfg3
/m/04hcw,/m/05vdbw9
/m/04hcw,/m/02rs270
/m/04hcw,/m/02rl77l
/m/04hcw,/m/06dty2
/m/04hcw,/m/01vrsw
/m/04hcw,/m/01k94t
/m/04hcw,/m/02pwhtk
/m/04hcw,/m/06rr91
/m/04hcw,/m/0ktdmp
/m/04hcw,/m/05mxmd_
/m/04hcw,/m/0gkywxy
/m/04hcw,/m/02vpy2g
/m/04hcw,/m/0530xz
/m/04hcw,/m/090yzw
/m/04hcw,/m/0bx_jtr
/m/04hcw,/m/05wb1x2
/m/04hcw,/m/02wx56q
/m/04hcw,/m/03hp457
/m/04hcw,/m/01dfd4
/m/04hcw,/m/0j_qm
/m/04hcw,/m/0279f24
/m/04hcw,/m/032xn8
/m/04hcw,/m/01s3cb
/m/04hcw,/m/03d0htf
/m/04hcw,/m/01kblf
/m/04hcw,/m/0w2w
/m/04hcw,/m/01d494
/m/04hcw,/m/0c41jl_
/m/04hcw,/m/0g7kc
/m/04hcw,/m/0jrz
/m/04hcw,/m/03ktgg
/m/04hcw,/m/032r1
/m/04hcw,/m/04zvgk
/m/04hcw,/m/02fc2
/m/04hcw,/m/047g6
/m/04hcw,/m/02xn4y
/m/04hcw,/m/03sy5d
/m/04hcw,/m/06vcfr
/m/04hcw,/m/099ldv
/m/04hcw,/m/0c6g6s
/m/04hcw,/m/0267_dt
/m/04hcw,/m/02r4x55
/m/04hcw,/m/01k3dv
/m/04hcw,/m/03g_595
/m/04hcw,/m/07h1q
/m/04hcw,/m/044wb
/m/04hcw,/m/0rls8
/m/04hcw,/m/03chh1g
/m/04hcw,/m/014nx0
/m/04hcw,/m/03yzwb
/m/04hcw,/m/0771w3
/m/04hcw,/m/01s3d2
/m/04hcw,/m/06r0j5
/m/04hcw,/m/079fgp
/m/04hcw,/m/06hgj
/m/04hcw,/m/02tn3m
/m/04hcw,/m/07lsm
/m/04hcw,/m/02yrjh
/m/04hcw,/m/02p76c
/m/04hcw,/m/028xtj
/m/05cvs,/m/015n8
/m/05cvs,/m/026lj
/m/05cvs,/m/028xm
/m/05cvs,/m/030dr
/m/05cvs,/m/02wh0
/m/05cvs,/m/0420y
/m/05cvs,/m/07c37
/m/05cvs,/m/01m2jf
/m/05cvs,/m/015_hb
/m/05cvs,/m/0k665
/m/05cvs,/m/0806p
/m/05cvs,/m/024kq1
/m/05cvs,/m/04b2f0
/m/05cvs,/m/0fkyd
/m/05cvs,/m/0lhg5
/m/05cvs,/m/01dvtx
/m/05cvs,/m/035fn3
/m/05cvs,/m/039n1
/m/05cvs,/m/0nk72
/m/05cvs,/m/014nx0
/m/05cvs,/m/01tw09
/m/05cvs,/m/037c7x
/m/05cvs,/m/039tyk
/m/05cvs,/m/02xn4y
/m/05cvs,/m/03l44
/m/05cvs,/m/0bd0vr
/m/06csk,/m/015n8
/m/06csk,/m/01b0x
/m/06csk,/m/03s9v
/m/06csk,/m/0350t
/m/06csk,/m/043s3
/m/06csk,/m/0169ff
/m/06csk,/m/017h16
/m/06csk,/m/02ln1
/m/06csk,/m/0372p
/m/06csk,/m/0b78hw
/m/06csk,/m/028xm
/m/06csk,/m/039n1
/m/06csk,/m/0420y
/m/06csk,/m/07c37
/m/06csk,/m/08nwqf
/m/06csk,/m/01czwg
/m/06csk,/m/017lgr
/m/06csk,/m/048z9d
/m/06csk,/m/099ldv
/m/06csk,/m/04rxxy
/m/06csk,/m/032wb9
/m/06csk,/m/05n4mk
/m/06csk,/m/02qjjq
/m/06csk,/m/01stjn
/m/06csk,/m/09nz9w
/m/06csk,/m/0f9wd
/m/06csk,/m/09j84
/m/06csk,/m/01m382
/m/06csk,/m/017jns
/m/06csk,/m/0q250
/m/06csk,/m/03yfwn
/m/06csk,/m/01m3q2
/m/06csk,/m/058sj2
/m/06csk,/m/04hlxr
/m/06csk,/m/056508
/m/06csk,/m/015_bs
/m/06csk,/m/0gsjk
/m/06csk,/m/034ms
/m/06csk,/m/01h7yq
/m/06csk,/m/01b_dj
/m/06csk,/m/0jmr3
/m/06csk,/m/0d98m
/m/06csk,/m/02nxw4
/m/06csk,/m/0dhpq
/m/06csk,/m/03sbs
/m/06csk,/m/04xbh
/m/06csk,/m/0mj3d
/m/06csk,/m/01gnng
/m/06csk,/m/0c6g6s
/m/06csk,/m/02z77lt
/m/06csk,/m/01tvt
/m/06csk,/m/027931
/m/06csk,/m/026lj
/m/06csk,/m/043tg
/m/06csk,/m/047g6
/m/06csk,/m/07kb5
/m/06csk,/m/084100
/m/06csk,/m/044g6g
/m/06csk,/m/02mnz5
/m/06csk,/m/01f3ss
/m/02by2w,/m/0j3v
/m/02by2w,/m/039n1
/m/02by2w,/m/0182w0
/m/02by2w,/m/01fgc6
/m/02by2w,/m/01thjq
/m/02by2w,/m/01qhxs
/m/015_hb,/m/037c7x
/m/015_hb,/m/039n1
/m/015_hb,/m/01s6q3
/m/015_hb,/m/048cl
/m/015_hb,/m/078w2
/m/015_hb,/m/01f6vp
/m/015_hb,/m/01qhxs
/m/015_hb,/m/032hw6
/m/015_hb,/m/04y4j
/m/015_hb,/m/0dm0q8
/m/015_hb,/m/014nx0
/m/015_hb,/m/01s8yk
/m/015_hb,/m/0myp_
/m/015_hb,/m/01b5l3
/m/015_hb,/m/0fkyd
/m/015_hb,/m/02zng2
/m/015_hb,/m/08hd3x
/m/015_hb,/m/03blcp
/m/015_hb,/m/0969fd
/m/015_hb,/m/06hgj
/m/015_hb,/m/042q3
/m/015_hb,/m/02szmg
/m/037c7x,/m/0573p4
/m/037c7x,/m/02dm9c
/m/037c7x,/m/03blcp
/m/037c7x,/m/0fkyd
/m/037c7x,/m/07vw5
/m/037c7x,/m/022kp6
/m/01236p,/m/0gz_
/m/01236p,/m/05qmj
/m/01236p,/m/0p7d0
/m/01236p,/m/06035
/m/01236p,/m/04k42
/m/01ckkq,/m/04hcw
/m/01ckkq,/m/01qhxs
/m/01ckkq,/m/01l8_n
/m/04zks3,/m/0h25
/m/04qrrt,/m/0j3v
/m/04qrrt,/m/02wh0
/m/07m56m,/m/037c7x
/m/07m56m,/m/0fkyd
/m/07m56m,/m/03blcp
/m/0290q,/m/0gz_
/m/0290q,/m/015n8
/m/0290q,/m/02wh0
/m/0290q,/m/018wj9
/m/0290q,/m/0987k
/m/0290q,/m/0c2cl
/m/0290q,/m/065_27
/m/0290q,/m/011k9p
/m/0290q,/m/02q_8
/m/0290q,/m/06035
/m/0290q,/m/030dr
/m/04xk5,/m/015n8
/m/04xk5,/m/03s9v
/m/04xk5,/m/01nywz
/m/04xk5,/m/07kb5
/m/04xk5,/m/01dvtx
/m/04xk5,/m/0372p
/m/04xk5,/m/0mj3d
/m/04xk5,/m/05mxfcg
/m/04xk5,/m/0c74z
/m/04xk5,/m/078dpp
/m/04xk5,/m/0r24
